code,code_name,close,mktcap
sh.600410,华胜天成,21.09,248.53
sh.600415,小商品城,13.54,760.4
sh.600416,湘电股份,11.8,177.41
sh.600418,江淮汽车,45.37,1003.7
sh.600420,国药现代,9.11,123.25
sh.600422,昆药集团,8.51,65.62
sh.600426,华鲁恒升,31.37,693.93
sh.600428,中远海特,7.87,193.19
sh.600435,北方导航,12.71,203.55
sh.600436,片仔癀,126.11,786.6
sh.600438,通威股份,15.59,724.34
sh.600446,金证股份,13.81,130.96
sh.600449,宁夏建材,13.94,70.01
sh.600452,涪陵电力,12.46,198.49
sh.600456,宝钛股份,32.68,160.83
sh.600458,时代新材,12.0,105.52
sh.600459,贵研铂业,19.16,151.88
sh.600460,士兰微,30.94,526.68
sh.600461,洪城环境,10.24,133.1
sh.600468,百利电气,6.71,79.08
sh.600475,华光环能,19.23,180.15
sh.600478,科力远,6.55,112.0
sh.600480,凌云股份,11.53,142.86
sh.600481,双良节能,7.8,145.82
sh.600482,中国动力,35.17,828.33
sh.600483,福能股份,10.54,300.6
sh.600486,扬农化工,60.91,255.7
sh.600487,亨通光电,69.9,1767.79
sh.600489,中金黄金,22.78,1147.04
sh.600490,鹏欣资源,7.51,157.13
sh.600497,驰宏锌锗,9.24,501.78
sh.600498,烽火通信,54.04,718.4
sh.600499,科达制造,16.74,326.74
sh.600501,航天晨光,21.18,96.36
sh.600508,上海能源,12.96,98.33
sh.600509,天富能源,9.06,134.95
sh.600510,黑牡丹,9.02,95.96
sh.600511,国药股份,27.09,152.4
sh.600513,联环药业,19.26,56.38
sh.600521,华海药业,17.02,248.13
sh.600522,中天科技,41.9,1486.05
sh.600523,贵航股份,12.69,53.21
sh.600528,中铁工业,7.51,169.35
sh.600529,山东药玻,17.68,116.7
sh.600530,交大昂立,6.84,56.2
sh.600531,豫光金铅,13.23,174.64
sh.600535,天士力,14.38,215.8
sh.600536,中国软件,38.57,338.93
sh.600546,山煤国际,13.35,270.02
sh.600547,山东黄金,29.6,1118.64
sh.600548,深高速,8.82,152.77
sh.600549,厦门钨业,50.16,810.05
sh.600550,保变电气,14.2,277.51
sh.600551,时代出版,7.86,55.78
sh.600552,凯盛科技,18.3,171.73
sh.600557,康缘药业,12.43,72.1
sh.600559,老白干酒,13.4,121.19
sh.600562,国睿科技,24.93,312.94
sh.600563,法拉电子,158.36,330.49
sh.600566,济川药业,28.6,260.07
sh.600570,恒生电子,26.17,503.39
sh.600571,信雅达,12.16,58.76
sh.600577,精达股份,14.19,308.33
sh.600578,京能电力,8.18,501.16
sh.600580,卧龙电驱,40.66,633.4
sh.600584,长电科技,66.84,1106.3
sh.600585,海螺水泥,19.71,803.94
sh.600587,新华医疗,13.33,81.06
sh.600588,用友网络,10.85,393.13
sh.600589,大位科技,12.42,192.34
sh.600590,泰豪科技,13.86,122.04
sh.600592,龙溪股份,19.31,79.05
sh.600595,中孚实业,7.09,290.4
sh.600596,新安股份,12.05,163.53
sh.600597,光明乳业,7.08,98.74
sh.600598,北大荒,15.31,279.3
sh.600600,青岛啤酒,61.21,437.56
sh.600601,方正科技,11.63,516.14
sh.600602,云赛智联,21.02,242.95
sh.600605,汇通能源,31.47,67.64
sh.600610,中毅达,8.65,67.71
sh.600612,老凤祥,36.99,118.09
sh.600618,氯碱化工,11.18,89.31
sh.600619,海立股份,18.48,147.18
sh.600621,华鑫股份,13.93,149.52
sh.600623,华谊集团,9.45,182.8
