code,industry
sh.600269,道路运输业
sh.600271,软件和信息技术服务业
sh.600272,批发业
sh.600273,化学原料和化学制品制造业
sh.600276,医药制造业
sh.600278,批发业
sh.600279,水上运输业
sh.600280,零售业
sh.600281,有色金属冶炼和压延加工业
sh.600282,黑色金属冶炼和压延加工业
sh.600283,水的生产和供应业
sh.600284,土木工程建筑业
sh.600285,医药制造业
sh.600287,批发业
sh.600288,计算机、通信和其他电子设备制造业
sh.600289,软件和信息技术服务业
sh.600292,生态保护和环境治理业
sh.600293,非金属矿物制品业
sh.600295,黑色金属冶炼和压延加工业
sh.600298,食品制造业
sh.600299,食品制造业
sh.600300,酒、饮料和精制茶制造业
sh.600301,有色金属矿采选业
sh.600302,专用设备制造业
sh.600303,汽车制造业
sh.600305,食品制造业
sh.600307,黑色金属冶炼和压延加工业
sh.600308,造纸和纸制品业
sh.600309,化学原料和化学制品制造业
sh.600310,电力、热力生产和供应业
sh.600312,电气机械和器材制造业
sh.600313,批发业
sh.600315,化学原料和化学制品制造业
sh.600316,铁路、船舶、航空航天和其他运输设备制造业
sh.600318,货币金融服务
sh.600319,化学原料和化学制品制造业
sh.600320,通用设备制造业
sh.600322,房地产业
sh.600323,生态保护和环境治理业
sh.600325,房地产业
sh.600326,非金属矿物制品业
sh.600327,卫生
sh.600328,化学原料和化学制品制造业
sh.600329,医药制造业
sh.600330,计算机、通信和其他电子设备制造业
sh.600331,化学原料和化学制品制造业
sh.600332,医药制造业
sh.600333,燃气生产和供应业
sh.600335,批发业
sh.600336,电气机械和器材制造业
sh.600337,零售业
sh.600338,有色金属矿采选业
sh.600339,开采专业及辅助性活动
sh.600340,房地产业
sh.600343,通用设备制造业
sh.600345,计算机、通信和其他电子设备制造业
sh.600346,化学原料和化学制品制造业
sh.600348,煤炭开采和洗选业
sh.600350,道路运输业
sh.600351,医药制造业
sh.600352,化学原料和化学制品制造业
sh.600353,计算机、通信和其他电子设备制造业
sh.600354,农、林、牧、渔专业及辅助性活动
sh.600356,造纸和纸制品业
sh.600358,商务服务业
sh.600359,农业
sh.600360,计算机、通信和其他电子设备制造业
sh.600361,有色金属冶炼和压延加工业
sh.600362,有色金属冶炼和压延加工业
sh.600363,计算机、通信和其他电子设备制造业
sh.600365,零售业
sh.600366,非金属矿物制品业
sh.600367,化学原料和化学制品制造业
sh.600368,道路运输业
sh.600369,资本市场服务
sh.600370,化学原料和化学制品制造业
sh.600371,农、林、牧、渔专业及辅助性活动
sh.600372,铁路、船舶、航空航天和其他运输设备制造业
sh.600373,新闻和出版业
sh.600375,汽车制造业
sh.600376,房地产业
sh.600377,道路运输业
sh.600378,化学原料和化学制品制造业
sh.600379,电气机械和器材制造业
sh.600380,医药制造业
sh.600381,食品制造业
sh.600382,黑色金属矿采选业
sh.600383,房地产业
sh.600386,零售业
sh.600388,专用设备制造业
sh.600389,化学原料和化学制品制造业
sh.600390,其他金融业
sh.600391,铁路、船舶、航空航天和其他运输设备制造业
sh.600392,有色金属冶炼和压延加工业
sh.600395,煤炭开采和洗选业
sh.600396,电力、热力生产和供应业
sh.600397,专用设备制造业
sh.600398,纺织服装、服饰业
sh.600399,黑色金属冶炼和压延加工业
sh.600400,纺织服装、服饰业
sh.600403,煤炭开采和洗选业
sh.600405,计算机、通信和其他电子设备制造业
sh.600406,软件和信息技术服务业
sh.600408,黑色金属冶炼和压延加工业
sh.600409,化学原料和化学制品制造业
sh.600410,软件和信息技术服务业
sh.600415,商务服务业
sh.600416,电气机械和器材制造业
sh.600418,汽车制造业
sh.600419,食品制造业
sh.600420,医药制造业
sh.600421,通用设备制造业
sh.600422,医药制造业
sh.600423,化学原料和化学制品制造业
sh.600425,非金属矿物制品业
sh.600426,化学原料和化学制品制造业
sh.600428,水上运输业
sh.600429,食品制造业
sh.600433,造纸和纸制品业
sh.600435,计算机、通信和其他电子设备制造业
sh.600436,医药制造业
sh.600438,电气机械和器材制造业
sh.600439,皮革、毛皮、羽毛及其制品和制鞋业
sh.600444,专用设备制造业
sh.600446,软件和信息技术服务业
sh.600448,纺织业
sh.600449,非金属矿物制品业
sh.600452,电力、热力生产和供应业
sh.600455,教育
sh.600456,有色金属冶炼和压延加工业
sh.600458,橡胶和塑料制品业
sh.600459,有色金属冶炼和压延加工业
sh.600460,计算机、通信和其他电子设备制造业
sh.600461,水的生产和供应业
sh.600463,土木工程建筑业
sh.600467,渔业
sh.600468,电气机械和器材制造业
sh.600469,橡胶和塑料制品业
sh.600470,化学原料和化学制品制造业
sh.600475,生态保护和环境治理业
sh.600476,软件和信息技术服务业
sh.600477,金属制品业
sh.600478,电气机械和器材制造业
sh.600479,医药制造业
sh.600480,汽车制造业
sh.600481,通用设备制造业
sh.600482,铁路、船舶、航空航天和其他运输设备制造业
sh.600483,电力、热力生产和供应业
sh.600486,化学原料和化学制品制造业
sh.600487,电气机械和器材制造业
sh.600488,医药制造业
sh.600489,有色金属矿采选业
sh.600490,有色金属冶炼和压延加工业
sh.600491,土木工程建筑业
sh.600493,纺织业
sh.600495,铁路、船舶、航空航天和其他运输设备制造业
sh.600496,金属制品业
sh.600497,有色金属冶炼和压延加工业
